Date,Region_code,Org_code,Contract_code,Ambulance final dispositions,Recommend to A&E,N of calls
2017/7/11,,,111AF2,98,62,610
2017/7/11,,,111AF4,66,41,712
2017/7/11,,,111AF8,450,297,4036
2017/7/11,,,111AG4,65,22,313
2017/7/11,,,111AG5,73,110,756
2017/7/11,,,111AG6,271,191,1990
2017/7/11,,,111AG7,43,28,332
2017/7/11,,,111AG8,82,37,581
2017/7/12,,,111AA1,287,192,2218
2017/7/12,,,111AA2,48,16,381
2017/7/12,,,111AA4,73,53,598
2017/7/12,,,111AA5,92,52,794
2017/7/12,,,111AA6,29,20,169
2017/7/12,,,111AA7,24,21,277
2017/7/12,,,111AA9,16,15,157
2017/7/12,,,111AB2,47,48,618
2017/7/12,,,111AB4,40,41,375
2017/7/12,,,111AC2,47,30,339
2017/7/12,,,111AC3,63,60,595
2017/7/12,,,111AC4,50,53,572
2017/7/12,,,111AC5,59,38,416
2017/7/12,,,111AC6,55,43,595
2017/7/12,,,111AC7,11,14,172
2017/7/12,,,111AC8,79,26,630
2017/7/12,,,111AC9,288,209,2241
2017/7/12,,,111AD4,64,40,567
2017/7/12,,,111AD5,82,75,701
2017/7/12,,,111AD6,74,76,624
2017/7/12,,,111AD7,77,69,778
2017/7/12,,,111AD8,27,34,422
2017/7/12,,,111AD9,329,279,3518
2017/7/12,,,111AE1,134,104,1232
2017/7/12,,,111AE2,36,36,419
2017/7/12,,,111AE3,55,46,453
2017/7/12,,,111AE5,63,38,453
2017/7/12,,,111AE6,50,34,276
2017/7/12,,,111AE7,88,61,645
2017/7/12,,,111AE8,45,34,338
2017/7/12,,,111AE9,35,18,299
2017/7/12,,,111AF1,49,25,311
2017/7/12,,,111AF2,112,77,606
2017/7/12,,,111AF4,91,59,856
2017/7/12,,,111AF8,512,335,4364
2017/7/12,,,111AG4,69,39,390
2017/7/12,,,111AG5,66,83,719
2017/7/12,,,111AG6,254,186,2040
2017/7/12,,,111AG7,37,42,336
2017/7/12,,,111AG8,78,46,595
2017/7/13,,,111AA1,296,204,2226
2017/7/13,,,111AA2,59,23,417
2017/7/13,,,111AA4,94,55,669
2017/7/13,,,111AA5,89,48,625
2017/7/13,,,111AA6,30,15,187
2017/7/13,,,111AA7,28,31,284
2017/7/13,,,111AA9,15,17,179
2017/7/13,,,111AB2,46,46,651
2017/7/13,,,111AB4,38,41,562
2017/7/13,,,111AC2,59,40,534
2017/7/13,,,111AC3,64,59,687
2017/7/13,,,111AC4,53,47,520
2017/7/13,,,111AC5,47,46,438
2017/7/13,,,111AC6,51,44,355
2017/7/13,,,111AC7,21,13,259
2017/7/13,,,111AC8,60,29,553
2017/7/13,,,111AC9,252,177,2236
2017/7/13,,,111AD4,59,45,523
2017/7/13,,,111AD5,62,79,652
2017/7/13,,,111AD6,67,70,634
2017/7/13,,,111AD7,56,82,770
2017/7/13,,,111AD8,23,57,454
2017/7/13,,,111AD9,339,306,3603
2017/7/13,,,111AE1,125,99,1194
2017/7/13,,,111AE2,25,34,363
2017/7/13,,,111AE3,56,59,490
2017/7/13,,,111AE5,93,46,507
2017/7/13,,,111AE6,46,31,306
2017/7/13,,,111AE7,95,62,666
2017/7/13,,,111AE8,48,30,329
2017/7/13,,,111AE9,42,19,312
2017/7/13,,,111AF1,45,27,311
2017/7/13,,,111AF2,104,47,575
2017/7/13,,,111AF4,70,52,703
2017/7/13,,,111AF8,452,329,3877
2017/7/13,,,111AG4,55,39,329
2017/7/13,,,111AG5,66,71,681
2017/7/13,,,111AG6,258,166,2185
